her dad gave her 8 dimes and her mother gave her 4 dimes . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	her dad gave her 8 dimes . her mother gave her 4 dimes .
if he had travelled 4 hours at the first speed and 1 hour at the second speed , he would have covered 244 kilometers . CANNOTDISTRIBUTE	IN0 NP0 VBD0 VBN0 NP0 NP1 PP0 PP1 PP2 PP3 CC0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 NP0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how much did it snow on monday and tuesday combined ? CANNOTDISTRIBUTE	WHADVP0 WHADVP1 VBD0 NP0 VB0 IN0 NNP0 CC0 NN0 VP0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
he only sees 50 legs and 18 heads . CANNOTDISTRIBUTE	NP0 ADVP0 VBZ0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	he only sees 50 legs . he only sees 18 heads .
how much of 20 % pure acid and 60 % pure acid is needed to produce 80 square centimeters of a solution that is 45 % pure acid ? CANNOTDISTRIBUTE	X0 X1 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 VP13 VP14 VP15 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
nicole found an orange caterpillar and a green caterpillar in her backyard . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	nicole found an orange caterpillar in her backyard . nicole found a green caterpillar in her backyard .
on monday , harold picked up three doughnuts and four large coffees for the office staff . CANNOTDISTRIBUTE	PP0 PP1 ,0 NP0 VBD0 PRT0 NP0 NP1 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	on monday , harold picked up three doughnuts for the office staff . on monday , harold picked up four large coffees for the office staff .
during a job , he is called away and replaced by a less experienced man , who averages 120 bricks per hour . CANNOTDISTRIBUTE	PP0 PP1 PP2 ,0 NP0 VBZ0 VP0 VP1 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 .0 CANNOTDISTRIBUTE	during a job , he is called away . during a job , he is replaced by a less experienced man , who averages 120 bricks per hour .
finn bought 12 boxes of paper clips and 10 packages of index cards for a total cost of 61 .70 dollars . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 PP0 PP1 PP2 PP3 PP4 PP5 PP6 PP7 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the sum of the numbers of boys and girls in a class is 36 . CANNOTDISTRIBUTE	NP0 NP1 IN0 NP0 NP1 IN0 NNS0 CC0 NNS0 PP0 PP1 PP2 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the school took 246 dollars on the second day by selling 12 senior citizen tickets and 10 student tickets . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 PP0 PP1 PP2 PP3 IN0 VBG0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the owner is discussing a certain job with the job supervisor , and they decide to use 30 ounces of a 40 % solution . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 .0 CANNOTDISTRIBUTE	the owner is discussing a certain job with the job supervisor . the owner and supervisor decide to use 30 ounces of a 40 % solution .
if 500 cups were sold for a total of 2090 dollars , how many plastic cups and ceramic cups were sold ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 ,0 WRB0 JJ0 NN0 NNS0 CC0 NX0 NX1 VP0 VP1 .0 CANNOTDISTRIBUTE	if 500 cups were sold for a total of 2090 dollars , how many plastic cups were sold ? if 500 cups were sold for a total of 2090 dollars , how many ceramic cups were sold ?
peter sold 80 pumpkins and collected 395 .00 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	peter sold 80 pumpkins . peter collected 395 .00 dollars
on a certain day , 2200 people enter the fair and 5050 dollars is collected . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	on a certain day , 2200 people enter the fair . on a certain day , 5050 dollars is collected .
if all seats were filled and the total ticket income was 510 dollars how many adults and children were in the audience ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 CC0 NP0 NP1 NP2 NP3 VBD0 NP0 NP1 WHADVP0 WHADVP1 NNS0 CC0 NNS0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	if all seats were filled and the total ticket income were 510 dollars how many adults were in the audience ? if all seats were filled and the total ticket income were 510 dollars how many children were in the audience ?
mr .martin bought 2 cups of coffee and 5 bagels and spent 14 .00 dollars . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	mr .martin bought 2 cups of coffee . mr .martin bought 5 bagels . mr .martin spent 14 .00 dollars .
find 2 numbers whose sum is 64 and whose difference is 4 . CANNOTDISTRIBUTE	VB0 NP0 NP1 SBAR0 SBAR1 SBAR2 SBAR3 CC0 SBAR0 SBAR1 SBAR2 SBAR3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if all seats were filled and the total ticket income was 510 dollars how many adults and children were in the audience ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 CC0 NP0 NP1 NP2 NP3 VBD0 NP0 NP1 WHADVP0 WHADVP1 NNS0 CC0 NNS0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	if all seats were filled and the total ticket income were 510 dollars how many adults were in the audience ? if all seats were filled and the total ticket income were 510 dollars how many children were in the audience ?
if the total interest for the year is 245 pence , how much does mario has to invest at 4 % rate and how much does she has to invest at 6 .5 % rate ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 SBAR12 SBAR13 SBAR14 SBAR15 SBAR16 SBAR17 SBAR18 SBAR19 SBAR20 SBAR21 CC0 SBARQ0 SBARQ1 SBARQ2 SBARQ3 SBARQ4 SBARQ5 SBARQ6 SBARQ7 SBARQ8 SBARQ9 SBARQ10 SBARQ11 .0 CANNOTDISTRIBUTE	if the total interest for the year is 245 pence , how much does mario has to invest at 4 % rate ? how much does she has to invest at 6 .5 % rate ?
there are 30 legs and 13 heads of goats and chicken , so how may goats and chicken are there ? CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 IN0 NNS0 CC0 NN0 ,0 CC0 WHADVP0 MD0 NNS0 CC0 NN0 VP0 VP1 .0 CANNOTDISTRIBUTE	there are 30 legs and 13 heads of goats and chicken , so how may goats are there ? there are 30 legs and 13 heads of goats and chicken , so how may chicken are there ?
a customer walks into an electronics store and buys 5 mp3 players and 8 sets of headphones , paying 840 dollars . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 VP4 CC0 VBZ0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 NP3 ,0 S0 S1 S2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a baseball team has home games on wednesday and saturday . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 IN0 NN0 CC0 NN0 .0 CANNOTDISTRIBUTE	a baseball team has home games on wednesday . a baseball team has home games on saturday .
they have adult and child tickets . CANNOTDISTRIBUTE	NP0 VBP0 NN0 CC0 NN0 NNS0 .0 CANNOTDISTRIBUTE	they have adult tickets . they have child tickets .
a woman invested a total of 9,000 dollars in 2 accounts , one earning 6 .5 % annual interest and the other earning 8 % annual interest . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 PP0 PP1 PP2 PP0 PP1 PP2 ,0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	a woman invested a total of 9 ,000 dollars in 2 accounts , one earning 6 .5 % annual interest . a woman invested a total of 9 ,000 dollars in 2 accounts , one earning 8 % annual interest .
during a visit to an orchard , charlie picked 0 .16666666666666666 bag of golden delicious apples , 0 .16666666666666666 bag of macintosh apples , and 0 .3333333333333333 bag of cortland apples . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 PP4 PP5 ,0 NP0 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 ,0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 CC0 NP0 NP1 NP2 IN0 NN0 NNS0 .0 CANNOTDISTRIBUTE	during a visit to an orchard , charlie picked 0 .16666666666666666 bag of golden delicious apples . during a visit to an orchard , charlie picked 0 .16666666666666666 bag of macintosh apples . during a visit to an orchard , charlie picked 0 .3333333333333333 bag of cortland apples .
to make a weak solution of 24 liters of 4 % acid , a lab technician will use some premixed solutions : one is 2 % acid and the other is 5 % acid . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 :0 S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
1 blend of coffee sells for 9 .00 dollars per pound and another blend sells for 8 .00 dollars per pound . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 .0 CANNOTDISTRIBUTE	1 blend of coffee sells for 9 .00 dollars per pound . another blend of coffee sells for 8 .00 per pound .
a merchant wants to combine peanuts selling 2 .40 dollars per pound and cashews selling for 6 .00 dollars per pound to form 60 pounds which will sell at 3 .00 dollars per pound . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 TO0 VB0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many hot dogs and sodas were sold ? CANNOTDISTRIBUTE	WRB0 JJ0 JJ0 NNS0 CC0 NNS0 VP0 VP1 .0 CANNOTDISTRIBUTE	how many hot dogs were sold ? how many sodas were sold ?
she can buy four roses and five daisies for 7 .90 dollars or two roses and six daisies for 5 .70 dollars . CANNOTDISTRIBUTE	NP0 MD0 VB0 NP0 NP1 CC0 NP0 NP1 IN0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
1 number is 9 less than twice another , and their sum is 42 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 ,0 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the admission price for an adult ticket and for a student ticket at the spring fest , in dollars . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 PP0 PP1 PP2 PP3 PP0 PP1 PP2 PP3 ,0 PP0 PP1 .0 CANNOTDISTRIBUTE	find the admission price for an adult ticket at the spring fest in dollars . find the admission price for a student ticket at the spring fest in dollars .
find the cost of one box of paper clips and the cost of one package of index cards . . CANNOTDISTRIBUTE	VB0 NP0 NP1 IN0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 .0 CANNOTDISTRIBUTE	find the cost of one box of paper clips . find the cost of one package of index cards .
there were 2 red orchids and 4 white orchids in the vase . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there were 2 red orchids in the vase . there were 4 white orchids in the vase .
terry did all 25 problems on his test and got an 85 . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	terry did all 25 problems on his test . terry got an 85 .
dan had 97 baseball cards , and 8 were torn . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 ,0 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	dan had 97 baseball cards . 8 baseball cards were torn .
receipts for the day showed that 280 persons attended and 140 dollars was collected . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 IN0 S0 S1 S2 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	receipts for the day showed that 280 persons attended . receipts for the day showed that 140 dollars was collected .
in yardley it snowed 0 .125 inch in the morning and 0 .5 inch in the afternoon . CANNOTDISTRIBUTE	PP0 PP1 NP0 VBD0 NP0 NP1 NP2 PP0 PP1 PP2 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	in yardley it snowed 0 .125 inch in the morning . in yardley it snowed 0 .5 inch in the afternoon
he bought a flute for $ 142 .46 , a music tool for $ 8 .89 , and a song book for $ 7 . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 PP0 PP1 PP2 PP3 ,0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 ,0 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	he bought a music tool for $8 .89 . he bought a flute for $142 .46 . he bought a song book for $7 .
melanie had 30 baseball cards , and 9 were torn . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 ,0 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	melanie had 30 baseball cards . 9 baseball cards were torn .
the rocket coaster has 15 cars , some that hold 4 people and some that hold 6 people . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 ,0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	the rocket coaster has 15 cars , some hold 4 people . the rocket coaster has 15 cars , some hold 6 people .
the company paid an average of 300 dollars for each douglas fir and 250 dollars for each ponderosa pine . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	the company paid an average of 300 dollars for each douglas fir . the company paid an average of 250 dollars for each ponderosa pine .
sara had 24 peaches and 37 pears at her fruit dish . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	sara had 24 peaches at her fruit dish . sara had 37 pears at her fruit dish .
barney was charged 69 dollars for 3 days and 300 miles , while mary was charged 123 dollars for 5 days and 600 miles . CANNOTDISTRIBUTE	NP0 VBD0 VBN0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 ,0 IN0 NP0 VBD0 VBN0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	barney was charged 69 dollars for 3 days , while mary was charged 123 dollars for 5 days . barney was charged 69 dollars for 3 days , while mary was charged 123 dollars for 600 miles . barney was charged 69 dollars for 300 miles , while mary was charged 123 dollars for 5 days . barney was charged 69 dollars for 300 miles , while mary was charged 123 dollars for 600 miles .
juan and peter both leave a shopping center at the same time going in opposite directions . CANNOTDISTRIBUTE	NN0 CC0 VB0 DT0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if he used all the land and entire budget , how many acres of corn and how many acres of wheat should he plant ? CANNOTDISTRIBUTE	IN0 NP0 VBD0 PDT0 DT0 NN0 CC0 NP0 NP1 ,0 NP0 NP1 NP2 PP0 PP1 CC0 WHNP0 WHNP1 WHNP2 WHNP3 WHNP4 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	if he used all the land and entire budget , how many acres of corn should he plant ? if he used all the land and entire budget , how many acres of wheat should he plant ?
what mileage can you go and stay within your budget ? CANNOTDISTRIBUTE	WHNP0 WHNP1 MD0 NP0 VP0 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
admission cost 2 .00 dollars for adults and 1 .50 dollars for children . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	admission cost 2 .00 dollars for adults . admission cost 1 .50 dollars for children .
there was a rental fee of 20 .99 dollars , and there also was a charge of 25 cents for each mile . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 .0 CANNOTDISTRIBUTE	there was a rental fee of 20 .99 dollars . there also was a charge of 25 cents for each mile .
part of the 8800 dollars is invested at 16 % and part at 14 % . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBZ0 VBN0 PP0 PP1 PP2 CC0 NP0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	part of the 8800 dollars is invested at 16 % . part of the 8800 dollars is invested at 14 % .
lisa invested 8000 dollars , part at 4 % and the rest at 5 % per year . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 ,0 NP0 PP0 PP1 PP2 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
student tickets cost 4 dollars and general admission tickets cost 6 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	student tickets cost 4 dollars . general admission tickets cost 6 dollars .
upon checking the acid solution supplies , the supervisor has found some 25 % acid solution and some 50 % acid solution , but there is no 40 % acid solution . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 PP4 PP5 ,0 NP0 NP1 VBZ0 VBN0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	upon checking the acid solution supplies , the supervisor has found some 25 % acid solution , but there is no 40 % acid solution . upon checking the acid solution supplies , the supervisor has found some 50 % acid solution , but there is no 40 % acid solution .
the total number of democrats and republicans in the house of representatives was 434 . CANNOTDISTRIBUTE	NP0 NP1 NP2 IN0 NNS0 CC0 NNS0 PP0 PP1 PP2 PP3 PP4 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the sum of two numbers is 32 and the difference is 14 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	the sum of two numbers is 32 . the difference of two numbers is 14 .
the daily prices are 1 .50 dollars for children and 2 .25 dollars for adults . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBP0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	the daily prices are 1 .50 dollars for children . the daily prices are 2 .25 dollars for adults .
the peanuts cost 3 dollars per pound and the almounds cost 5 dollars per pound . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	the peanuts cost 3 dollars per pound . the almounds cost 5 dollars per pound .
you sold a total of 87 hot dogs and sodas combined . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 IN0 CD0 JJ0 NNS0 CC0 VBZ0 VP0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
each day , the polar bear at richmond 's zoo eats 0 .2 bucket of trout and 0 .4 bucket of salmon . CANNOTDISTRIBUTE	NP0 NP1 ,0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	each day , the polar bear at richmond 's zoo eats 0 .2 bucket of trout . each day , the polar bear at richmond 's zoo eats 0 .4 bucket of salmon .
there are some 2 dollar coins and some 5 dollar coins . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	there are some 2-dollar coins . there are some 5-dollar coins .
when they set up the tables they need 2 forks for each child and 5 forks for each adult . CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 NP0 VBP0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	when they set up the tables they need 2 forks for each child . when they set up the tables they need 5 forks for each adult .
3 pencils and 4 pens cost 1 .58 dollars . CANNOTDISTRIBUTE	NP0 NP1 CC0 NP0 NP1 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
mary had 18 baseball cards , and 8 were torn . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 ,0 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the smaller and the larger number . . CANNOTDISTRIBUTE	VB0 DT0 ADJP0 CC0 DT0 JJR0 NN0 .0 .0 CANNOTDISTRIBUTE	find the smaller number . . find the larger number . .
the lakers scored 43 points on a combination of 20 two point baskets and three point baskets . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 IN0 NP0 NP1 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many two point questions and five point questions are on the test ? CANNOTDISTRIBUTE	WRB0 JJ0 CD0 NN0 NNS0 CC0 NP0 NP1 NP2 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	how many two-point questions are on the test ? how many five-point questions are on the test ?
how many boys and girls are there ? CANNOTDISTRIBUTE	WHADJP0 WHADJP1 NNS0 CC0 NNS0 VP0 VP1 .0 CANNOTDISTRIBUTE	how many boys are there ? how many girls are there ?
sara picked 35 pears and 27 apples from the orchard . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	sara picked 35 pears from the orchard . sara picked 27 apples from the orchard .
dave and sandy fly from philly to chicago , it takes 2 hours to go west and 1 .5 hours to fly east . CANNOTDISTRIBUTE	NP0 CC0 JJ0 NN0 PP0 PP1 PP0 PP1 ,0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 CC0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	dave fly from philly to chicago , it takes 2 hours to go west . dave fly from philly to chicago , it takes 1 .5 hours to fly east . sandy fly from philly to chicago , it takes 2 hours to go west . sandy fly from philly to chicago , it takes 1 .5 hours to fly east .
you answer 16 questions correctly , and your score was 162 points . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 ,0 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	you answer 16 questions correctly your score was 162 points .
trinidad has 2 .35 dollars in nickels and dimes . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 IN0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if there were 148 tires that needed to be replaced to due to damage , how many cars and trucks were involved in the incident ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 SBAR12 SBAR13 ,0 WRB0 JJ0 NNS0 CC0 NNS0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	if there were 148 tires that needed to were replaced due to damage , how many cars were involved in the incident ? if there were 148 tires that needed to were replaced due to damage , how many trucks were involved in the incident ?
the junk fund is risky and yields 11 % interest . CANNOTDISTRIBUTE	NP0 NP1 NP2 VP0 VP1 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	the junk fund is risky . the junk fund yields 11 % interest .
juliet has a choice between receiving an 1800 dollars monthly salary from furniture by design or a base salary of 1600 dollars and a 4 % commission on the amount of furniture she sells during the month . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 IN0 VBG0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 NP10 NP11 NP12 NP13 NP14 NP15 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 NP10 NP11 NP12 NP13 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many adults and children attended ? CANNOTDISTRIBUTE	WHADJP0 WHADJP1 NNS0 CC0 NNS0 VP0 .0 CANNOTDISTRIBUTE	how many adults attended ? how many children attended ?
a dealer has some hard candy worth 2 dollars a pound and some worth 3 dollars a pound . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 DT0 JJ0 NN0 ADJP0 ADJP1 ADJP2 ADJP3 ADJP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	a dealer has some hard candy worth 2 dollars a pound . a dealer has some hard candy worth 3 dollars a pound .
if the total yearly interest from this investment is 256 dollars , how much did pat invest at 10 percent and how much at 8 percent ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 ,0 WHNP0 WHNP1 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 CC0 WHNP0 WHNP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	if the total yearly interest from this investment is 256 dollars , how much did pat invest at 10 percent ? if the total yearly interest from this investment is 256 dollars , how much did pat invest at 8 percent ?
